,,,,,,,,,,,,,,,,,,Special Teams,Special Teams,Special Teams,Special Teams,Special Teams,Special Teams,Special Teams,Special Teams,Special Teams,Special Teams,Shot Data,Shot Data,Shot Data,Shot Data,
Rk,,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SOW,SOL,SRS,SOS,TG/G,EVGF,EVGA,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,PIM/G,oPIM/G,S,S%,SA,SV%,SO
1,Tampa Bay Lightning*,27.0,82,62,16,4,128,.780,319,221,6,1,1.21,-0.05,6.59,233,178,74,262,28.24,40,267,85.02,12,3,9.5,9.4,2620,12.2,2633,.916,6
2,Calgary Flames*,27.6,82,50,25,7,107,.652,289,223,0,4,0.70,-0.06,6.24,218,166,53,275,19.27,50,246,79.67,18,7,8.5,9.8,2656,10.9,2302,.903,3
3,Boston Bruins*,28.7,82,49,24,9,107,.652,257,212,2,3,0.52,-0.01,5.72,185,148,65,251,25.90,49,244,79.92,7,15,9.7,9.9,2680,9.6,2416,.912,9
4,Washington Capitals*,28.8,82,48,26,8,104,.634,274,248,4,1,0.35,-0.01,6.37,220,188,49,236,20.76,55,261,78.93,5,5,8.9,8.6,2492,11.0,2584,.904,4
5,New York Islanders*,28.4,82,48,27,7,103,.628,223,191,5,5,0.38,-0.01,5.05,184,146,33,227,14.54,44,219,79.91,6,1,7.9,7.7,2360,9.4,2534,.925,11
6,San Jose Sharks*,29.3,82,46,27,9,101,.616,289,258,0,3,0.30,-0.04,6.67,223,204,57,241,23.65,45,234,80.77,9,9,9.1,9.4,2708,10.7,2323,.889,5
7,Toronto Maple Leafs*,27.5,82,46,28,8,100,.610,286,249,0,2,0.42,-0.01,6.52,235,199,46,209,22.01,41,202,79.70,5,9,6.1,6.7,2736,10.5,2717,.908,3
8,Pittsburgh Penguins*,28.4,82,44,26,12,100,.610,271,238,2,3,0.38,-0.01,6.21,203,178,56,228,24.56,45,222,79.73,12,15,8.4,8.0,2731,9.9,2729,.913,7
9,Nashville Predators*,28.8,82,47,29,6,100,.610,236,212,4,2,0.31,-0.01,5.46,195,159,33,255,12.94,45,251,82.07,8,8,8.4,9.4,2677,8.8,2460,.914,7
10,St. Louis Blues*,27.9,82,45,28,9,99,.604,244,220,3,3,0.28,-0.01,5.66,189,170,50,237,21.10,43,232,81.47,5,7,7.6,8.2,2604,9.4,2345,.906,9
11,Winnipeg Jets*,26.6,82,47,30,5,99,.604,270,243,2,1,0.33,-0.02,6.26,198,184,62,250,24.80,52,250,79.20,10,7,9.3,8.7,2557,10.6,2741,.911,3
12,Carolina Hurricanes*,26.8,82,46,29,7,99,.604,243,221,2,2,0.26,-0.01,5.66,191,169,44,247,17.81,44,239,81.59,8,8,7.5,8.7,2822,8.6,2343,.906,6
